Keyword,Intent,Keyword Difficulty,Keyword Opportunity,CPC,Volume ricerca,Stagionalità
standup meeting,Informational,36,76,0.47,590,
itil v4,Transactional,34,84,5,590,
top down e bottom up,Informational,55,69,0,590,
pmp certified,Informational,19,89,3.44,590,
product development,Informational,43,45,1.94,590,
struttura divisionale,Informational,23,71,0,590,
retrospective,Informational,43,43,1.76,590,
contingency plan,Informational,50,34,3.17,590,
bottom up e top down,Informational,55,74,0,590,
stand up meetings,Informational,40,79,0.47,590,
bisogni fisiologici,Informational,41,80,0,590,
business case esempio,Informational,48,76,0.83,590,
team event,Informational,51,49,3.21,590,
contingency plans,Informational,41,73,3.17,590,
burndown chart,Informational,45,43,0,590,
cambiare lavoro a 40 anni,Informational,51,55,0.06,590,
certified pmp,Informational,18,89,3.44,590,
infosec,Informational,45,37,4.18,590,
product manager stipendio,"Transactional,Informational",46,76,1.15,590,
sistemico,Informational,44,48,0,590,
test driven development,Informational,40,48,1.3,480,
prince two,Informational,25,86,0,480,
integration test,Informational,49,38,0.71,480,
sistemica,Informational,49,35,0,480,
lungimirante significato,Informational,40,73,0,480,
pensiero sistematico,Informational,14,87,0,480,
delivery management,Informational,29,64,3.76,480,
extreme programming,Informational,46,33,0.29,480,
delivery manager,Informational,44,42,3.76,480,
capacità di problem solving,Informational,55,70,0,480,
esempio organigramma aziendale,Informational,38,80,2.18,480,
economia di scopo,Informational,40,77,0,480,
manifesto agile,"Navigational,Informational",38,57,2.03,480,
struttura aziendale,Informational,42,74,0.49,390,
project manager significato,Informational,53,73,0.21,390,
job to be done,Informational,42,70,0.51,390,
master in design,Transactional,32,76,3.72,390,
metodologia scrum,Informational,44,65,0.98,390,
safe agile,Informational,41,75,1.84,390,
scrum significato,Informational,35,82,1.23,390,
product backlog,Informational,41,42,0,390,
sharing knowledge,Informational,33,75,0.45,390,
certification in project management,Informational,26,85,5.02,390,
sense making,Informational,33,77,0.11,390,
agilità,Informational,50,35,0,390,
master risorse umane online,Transactional,46,76,7.68,390,
essere zen,Informational,48,49,0.16,390,
master social media manager,Informational,41,78,8.31,390,
agile master,Informational,33,83,3.14,390,
coercitiva,Informational,48,62,0,390,
project management certification,Informational,32,76,5.02,390,
metodo scrum,Informational,41,75,0.96,390,
pensiero sistemico,Informational,24,47,0.19,390,
master ux design,Informational,36,81,3.92,390,
metriche,Informational,37,46,0,390,
certificazione itil,Informational,30,74,1.89,390,
certificazione project manager,Informational,32,71,4.14,390,
curva di rogers,Informational,24,50,0,390,
certification project management,Informational,27,84,5.02,390,
qms system,Informational,28,86,8.63,390,
design management,Informational,40,31,3.98,320,
agile coaching,Commercial,31,59,1.14,320,
organigramma a matrice,Informational,23,77,1.01,320,
strategie corporate,Informational,33,71,2.89,320,
scrum methodologies,Informational,30,83,0.86,320,
sistemico sinonimo,Informational,54,71,0,320,
just in time traduzione,Informational,58,71,0,320,
people and management,Informational,37,81,0,320,
agile coac,Commercial,37,40,1.14,320,
continuous delivery,Informational,33,49,3.72,320,
problem solving esempio pratico,Informational,35,79,0,320,
problem solving esempi pratici,Informational,35,79,0,320,
kanban vs scrum,"Commercial,Informational",50,66,0.64,320,
ruoli aziendali elenco,Informational,25,85,1.94,320,
pmp corso,"Transactional,Informational",28,87,3.88,320,
metodologie agile scrum,Informational,32,83,1.49,320,
stakeholders definizione,Informational,32,81,0,320,
struttura organizzativa funzionale,Informational,24,75,0,320,
sistemiche significato,Informational,28,85,0,320,
incidents management,Informational,30,80,6.58,320,
product marketing,Informational,47,35,0.92,320,
1 2 4 all,Informational,28,84,0,320,
certificazione di project management,Informational,33,75,3.86,320,
scrum methodology,Informational,32,75,0.86,320,
ux research,Informational,41,37,2.96,320,
master cyber security online,Informational,42,77,6.68,320,
agile sprint,Informational,43,75,8.45,320,
sprint agile,Informational,28,80,8.45,320,
cosa fa un project manager,Informational,55,74,0.63,320,
strategie di business,Informational,48,57,0.9,320,
system thinking,Informational,37,76,1.17,320,
matrice general electric,Informational,35,72,0,320,
obiettivi aziendali,Informational,52,29,0.76,320,
design process,Informational,37,39,3.49,320,
comportamento organizzativo,Informational,56,24,0.24,320,
master data analyst,Transactional,27,78,8.89,320,
economie di apprendimento,Informational,56,33,0,320,
qrp,Informational,43,32,0.1,320,
agile coach,Commercial,37,39,1.14,320,
top down bottom up,Informational,47,76,0,260,
quality system management,Informational,26,84,4,260,
approccio top down,Informational,54,74,0,260,
psicologia sistemica,Informational,51,61,0.55,260,
autoapprendimento,Informational,30,50,0,260,
rapid prototype,Informational,30,82,4.38,260,
mappatura stakeholder,Informational,34,75,0,260,
economie di scala significato,Informational,46,76,0,260,
master hr online,Informational,44,74,9.28,260,
problem solving fasi,Informational,51,74,1.22,260,
scrum master significato,"Transactional,Informational",51,75,0.84,260,
economie di scala definizione,Informational,48,73,0,260,
lavori in azienda,"Navigational,Transactional",55,74,0.44,260,
significato di autorevole,Informational,46,78,0,260,
sistemico significato,Informational,57,72,0,260,
quality management system,Informational,26,56,4,260,
sprint plan,Informational,40,44,3.31,260,
sviluppo del prodotto,Informational,41,49,2.08,260,
strategie aziendali,Informational,19,81,1.89,260,
top down significato,Informational,42,79,0,260,
significato lungimirante,Informational,40,79,0,260,
cosa fa il project manager,Informational,56,73,0.69,260,
organizzare studio,Informational,40,78,0.03,260,
brainstorming cos'è,Informational,48,75,0.47,260,
sviluppo prodotti,Informational,30,83,0.26,260,
succession planning,Informational,32,40,1.1,260,
scrum board,Informational,41,47,2.16,260,
sprint planning,Informational,39,48,3.31,260,
come lavoro,Informational,59,71,0.28,260,
struttura organizzativa a matrice,Informational,29,68,0,210,
distruzione creativa,Informational,39,51,0,210,
prodotti marketing,"Transactional,Informational",37,76,6.12,210,
sprint scrum,"Transactional,Informational",42,74,0.55,210,
pmi pmp,Informational,19,90,1.34,210,
approccio top-down,Informational,53,57,0.77,210,
lean manager,Informational,36,44,1.34,210,
forza di attrazione,Informational,47,76,0,210,
organigramma divisionale,Informational,26,80,0,210,
pmp pmi,Informational,17,91,1.34,210,
daily standup meeting,Informational,31,81,0.17,210,
scrum sprint,Informational,37,77,0.55,210,
strategie competitive,Informational,45,53,0,210,
sviluppo di un prodotto,Informational,37,74,0,210,
pmi project management,Informational,14,85,1.89,210,
corsi itil,Transactional,17,84,2.22,210,
corso itil,"Transactional,Informational",19,79,2.22,210,
capitale intellettuale,Informational,35,37,0.04,210,
scrum team,"Transactional,Informational",38,66,1.06,210,
thinking creatively,Informational,31,79,1.45,210,
qualità totale,Informational,43,46,0,210,
scrum rugby,Informational,35,82,0,210,
project management pmi,Informational,27,83,1.89,210,
schumpeter innovazione,Informational,39,81,0,210,
posizionamento di prodotto,Informational,42,78,2.16,210,
sprint in scrum,"Transactional,Informational",31,82,0.55,210,
corso di comunicazione efficace,Informational,23,69,1.2,210,
marketing di prodotto,Informational,55,73,5.57,210,
cos'è il brainstorming,Informational,48,76,0.83,210,
agile kanban,Informational,42,81,1.88,210,
top management,Informational,61,23,0,210,
cos è il coaching,Informational,36,81,0.74,210,
comportamento proattivo,Informational,25,67,0,210,
ecocycle,Commercial,21,54,2.61,210,
scrum framework,"Transactional,Informational",36,77,2.13,210,
organizzazione a matrice,Informational,28,74,0.35,210,
daily standup,Informational,32,65,2.37,210,
pmi project manager,Informational,19,89,1.89,210,
ge matrix,Informational,31,67,0,210,
capacità di ascolto,Informational,34,64,0,210,
metodologia agile scrum,Informational,38,76,1.26,210,
matrice ge,Informational,38,54,0,210,
shu ha ri,Informational,26,82,0,210,
gerarchia aziendale ruoli,Informational,13,91,0,210,
kanban agile,Informational,45,78,1.88,210,
project management esempio pratico pdf,Informational,36,81,0.93,210,
prince2 certificazione,Informational,26,85,2.61,210,
visione sistemica,Informational,20,74,0,210,
responsabile del progetto,Informational,22,86,0,170,
diversificazione conglomerale,Informational,28,69,0,170,
pmo in project management,Informational,35,82,0,170,
renano,Informational,39,36,0,170,
product roadmap,Informational,45,41,2.88,170,
quality management,Informational,47,29,0,170,
team building aziendali,Informational,34,75,2.29,170,
legge di attrazione testimonianze,Informational,43,76,0,170,
brainstorming cos è,Informational,54,73,0,170,
product management master,"Commercial,Informational",50,74,7.15,170,
kai zen,Informational,40,71,0,170,
sprint backlog,Informational,31,47,0,170,
tecniche di brainstorming,Informational,32,54,0.11,170,
product marketing manager,"Transactional,Informational",54,49,2.06,170,
servicedesk,Informational,29,66,5.6,170,
struttura organizzativa divisionale,Informational,20,80,0,170,
early adopter,Informational,58,25,0,170,
cambiamento organizzativo,Informational,43,40,0.06,170,
presentazione slide,Informational,47,76,0.37,170,
agile vs scrum,"Commercial,Informational",49,68,0.34,170,
lavoro con passione,Informational,38,80,0,170,
approccio agile,Informational,46,73,1.21,170,
scrum daily standup,Informational,31,84,5.61,170,
transdisciplinarietà,Informational,35,60,0,170,
cross functional teams,Informational,42,66,0,170,
change agent,Informational,42,34,0,170,
framework scrum,"Transactional,Informational",35,73,2.15,170,
team scrum,Informational,41,76,0.21,170,
obiettivo aziendale,Informational,44,72,0,170,
master social media marketing,Informational,39,78,6.96,170,
certificazione prince2,"Commercial,Informational",24,67,2.51,170,
pmp project manager,Informational,21,88,4.28,140,
coaching cos'è,Informational,43,79,0.59,140,
ansia da lavoro paura di sbagliare,Informational,40,78,0.54,140,
gestione del cambiamento,Informational,39,55,2.27,140,
passione lavoro frasi,Informational,43,78,0,140,
itil v3,Informational,48,55,28.03,140,
influencer cos'è,Informational,44,79,0.67,140,
master in social media marketing,Informational,45,75,11.63,140,
agile pm,"Transactional,Informational",24,83,3.3,140,
agile marketer,Informational,30,81,0.1,140,
startup mvp,Informational,31,86,0.2,140,
business case significato,Informational,38,80,0,140,
certificazioni project management,Informational,33,74,3.94,140,
coaching cos è,Informational,36,81,0.32,140,
mappatura degli stakeholder,Informational,39,68,0,140,
forza attrattiva,Informational,46,69,0,140,
project management pmp,Informational,29,83,4.28,140,
che lavoro fare oggi,Informational,61,72,0.08,140,
raggio d azione,Informational,51,70,0,140,
comunicazione non violenta esempi,Informational,30,82,0.13,140,
analisi di scenario,Informational,29,60,0,140,
project manager pmp,Informational,20,87,4.28,140,
stile zen,"Transactional,Informational",46,37,0.25,140,
corsi di comunicazione efficace,Informational,32,82,1.47,140,
masters in design,Informational,25,85,5.51,140,
risk management in projects,Informational,23,85,2.43,140,
motivazione e apprendimento,Informational,56,58,0.1,140,
project risk management,Informational,33,62,1.27,140,
corso sustainability manager,Informational,36,68,4.76,140,
digital soft skills,Informational,31,65,1.77,140,
product designer,Informational,44,45,1.74,140,
arcipelago italia,Transactional,51,35,0,140,
giochi di comunicazione non verbale,Informational,27,83,0.13,140,
sensazione di insoddisfazione,Informational,44,77,0,140,
scrum metodologia,Informational,47,77,0.79,140,
insoddisfatta,Informational,57,60,0,140,
mvp startup,Informational,32,80,0.2,140,
digital product manager,Informational,45,44,2.26,140,
corso formazione risorse umane,Informational,41,77,4.75,140,
reliability engineering,Informational,50,36,0.14,140,
stipendio product manager,"Transactional,Informational",47,76,1.53,140,
lessons learned,Informational,46,39,0,140,
lean toyota,Informational,30,85,0,140,
struttura matriciale,Informational,16,89,0,140,
toyota lean,Informational,28,86,0,140,
portfolio manager,Informational,54,42,6.94,140,
definizione project management,Informational,40,79,0,140,
esercizi per ritrovare se stessi,Informational,26,85,1.41,140,
sei sigma,Informational,42,75,1.03,140,
autorevolezza esempi,Informational,42,79,0,140,
certificazioni pm,"Commercial,Informational",22,87,4.5,140,
risk management project,Informational,31,82,1.27,140,
metodo top down,Informational,40,80,0,110,
agile scrum master,Transactional,30,73,2.26,110,
pmo project management,Informational,40,79,4.91,110,
professional scrum master,Informational,21,63,1.05,110,
corso scrum master,Transactional,36,74,2.15,110,
capo progetto,Informational,40,63,0,110,
bisogni latenti,Informational,31,75,0,110,
product owner scrum,Informational,26,84,0.81,110,
gioco di collaborazione,Informational,19,87,1.12,110,
master in digital marketing online,Informational,64,65,12.5,110,
kanban scrum,"Commercial,Informational",44,79,2.38,110,
che cos'è il brainstorming,Informational,46,77,0.83,110,
mvp in startup,Informational,33,84,0,110,
rasi chart,Informational,31,80,0,110,
organigramma matriciale,Informational,20,87,0,110,
organizational,Informational,55,32,0,110,
significato efficiente,Informational,51,75,0,110,
vantaggio competitivo definizione,Informational,43,75,0,110,
progettazione agile,Informational,40,80,1.69,110,
struttura multidivisionale,Informational,35,72,0,110,
project manager definizione,Informational,51,73,0.42,110,
output economia,Informational,49,76,0,110,
cosa significa zen,Informational,45,78,0,110,
itil framework,Informational,43,80,3.42,110,
cisa certification,Informational,23,82,1.66,110,
backlog refinement,Informational,35,40,0,110,
agile user story,Informational,32,83,2.4,110,
sistemica significato,Informational,33,82,0,110,
agile user stories,Informational,43,72,2.4,110,
attività di brainstorming,Informational,40,80,0,110,
ruolo aziendale esempi,Informational,12,91,0,110,
digital marketing master online,Transactional,40,78,12.5,110,
professional project management,Informational,20,87,4.84,110,
senso di insoddisfazione,Informational,49,71,0.14,110,
filosofia aziendale,Informational,31,59,0,110,
scrum agile methodology,Informational,33,83,0.89,110,
consulente business,Informational,41,79,2.19,110,
scrum master agile,"Transactional,Informational",29,83,1.7,110,
agile methodologies scrum,Informational,35,82,0.89,110,
certificazioni itil,Informational,21,87,1.56,110,
come funziona la legge di attrazione,Informational,44,73,0.13,110,
services level,Informational,34,81,0,110,
facilitatrice,Informational,18,83,0,110,
project manager professional,Informational,25,83,4.84,110,
project management professional,Informational,29,59,4.84,110,
user story agile,Informational,33,82,2.4,110,
stile di vita zen,Informational,24,87,0,110,
daily meeting,Informational,40,70,0,110,
continuous integration e continuous delivery,Informational,37,74,1.57,110,
lavoro pesante,Informational,55,51,0,110,
behaviour driven development,Informational,33,73,0,110,
master digital marketing milano,Informational,23,80,7.05,110,
user stories,Informational,37,72,0,90,
master marketing digital,Informational,31,82,9.9,90,
matrice bcg marketing,Informational,37,80,0,90,
corsi social media manager milano,Informational,36,77,5.14,90,
scrum master professional,Informational,21,81,1.24,90,
linkedin funziona,Informational,60,58,0,90,
prince2 practitioner,Informational,18,72,1.89,90,
psm i,Informational,27,56,1.35,90,
project management prince2,Informational,27,80,2.29,90,
master in risorse umane online,Transactional,42,77,6.85,90,
persona zen,Informational,47,74,0.7,90,
lean engineering,Informational,48,61,0,90,
distruzione creatrice,Informational,44,39,0,90,
obiettivi operativi,Informational,30,64,0,90,
the job,Informational,46,31,0.52,90,
con passione,Transactional,62,30,0,90,
crescere professionalmente,Informational,34,53,0,90,
manager corporate,Informational,39,80,0,90,
esempi di brainstorming,Informational,49,76,0.27,90,
it services manager,Informational,36,79,0,90,
dating coach,"Commercial,Informational",53,42,0.76,90,
well being manager,Informational,24,86,0,90,
master digital marketing roma,Informational,29,81,8.67,90,
posizionamento del prodotto,Informational,44,63,0.74,90,
master social media,Informational,30,79,7.6,90,
metodo agile scrum,Informational,34,78,1.06,90,
cos'è il coaching,Informational,37,71,1.818167,90,
bdd test,Informational,41,81,0.18,90,
come funziona la legge dell attrazione,Informational,33,82,0,90,
esempio di brainstorming,Informational,41,79,0.27,90,
analisi swot personale,Informational,29,78,0,90,
design thinking fasi,Informational,34,81,4.06,90,
prince2 project management,Informational,31,78,2.29,90,
master cyber security,Transactional,50,65,7.86,90,
massime zen,"Transactional,Informational",54,76,0,90,
piramide bisogni di maslow,Informational,50,73,0,90,
corso ui design,"Transactional,Informational",38,79,3.47,90,
corso project management riconosciuto,Informational,35,80,3.45,90,
certificato itil,Informational,26,81,2.6,90,
agile hr,"Transactional,Informational",24,51,0.38,90,
scrum master cosa fa,Informational,50,74,0.68,90,
corsi di oratoria,"Commercial,Informational",24,77,1.95,90,
engineering manager,Informational,52,32,0.04,90,
mente creativa,Informational,31,55,0,90,
team manager significato,Informational,47,76,0,90,
cosa significa brainstorming,Informational,43,78,0,90,
ciclo di vita del progetto,Informational,42,54,0.04,90,
brainstorming definizione,Informational,44,76,0,90,
meditazione legge di attrazione,Informational,55,71,0,90,
project manager marketing,Informational,51,69,2.75,90,
rendimento di scala,Informational,58,69,0,90,
corso social media manager milano,Informational,38,76,5.14,90,
certificazioni pmp,Informational,19,87,3.65,90,
ux design corso,Informational,37,82,3.1,90,
corsi social media marketing milano,Transactional,47,74,4.74,70,
organigramma matrice,Informational,37,80,0,70,
esercizi sulla comunicazione per adulti,Informational,27,84,0,70,
manager hr,Informational,44,79,1.3,70,
master cybersecurity online,Informational,51,73,8.84,70,
passione nel lavoro,Informational,41,69,0,70,
analisi swot caso aziendale,Informational,45,77,2.22,70,
sicurezza psicologica,Informational,35,45,0,70,
matrice ge mckinsey,Informational,29,75,0,70,
tecnica del brainstorming,Informational,40,79,0.15,70,
come cambiare lavoro a 40 anni,Informational,37,79,0,70,
business aziendale,Informational,63,66,0,70,
agile e scrum,Informational,39,72,1.52,70,
ruolo project manager,Informational,53,75,0.76,70,
design master,Informational,37,82,4.67,70,
corso change management,Transactional,35,65,3.02,70,
porter economia,Informational,39,81,0,70,
sla management,Informational,32,74,0,70,
acquisire consapevolezza,Informational,30,84,0,70,
product backlog significato,Informational,31,83,0,70,
essere insoddisfatti,Informational,48,78,0.3,70,
strategie aziendali esempi,"Commercial,Informational",27,83,1.1,70,
economie di gamma,Informational,44,67,0,70,
product development manager,Informational,46,53,5.27,70,
filosofia sistematica,"Transactional,Informational",53,40,0,70,
organizzazione divisionale,Informational,16,89,0,70,
ironia e maieutica,Informational,33,64,0,70,
lead lag,Informational,48,78,0,70,
responsabile di progetto,Informational,39,69,2.12,70,
industrial manager,"Transactional,Informational",66,46,0,70,
modello tridimensionale di abell,Informational,33,77,0,70,
asa marketing,Informational,36,83,0,70,
scrum events,Informational,34,54,0,70,
project report,Informational,45,49,2.01,70,
schumpeter distruzione creativa,Informational,37,79,0,70,
project management professional pmp,Informational,24,83,6.05,70,
la struttura organizzativa,Informational,35,74,0,70,
cervello creativo,Informational,45,53,0,70,
definizione stakeholder,Informational,49,76,0,70,
certificazioni project manager,Informational,25,83,4.19,70,
modello aziendale,Informational,40,79,0,70,
bu manager,Transactional,65,66,0,70,
business definizione,Informational,54,74,0,70,
corsi social marketing,Informational,43,76,6.56,70,
certificazione togaf,Informational,23,72,1.86,70,
come essere autorevoli,Informational,21,78,0,70,
empowerment aziendale,Informational,29,69,0,70,
daily stand up,Informational,34,83,0.66,70,
miglior master risorse umane,Commercial,48,76,2.82,70,
boston consulting group matrix,Informational,38,81,0,70,
corso social media marketing milano,Transactional,49,73,4.74,70,
scrum safe,Informational,35,83,0,70,
itil service management,Informational,31,83,19.09,70,
senso di appartenenza aziendale,Informational,24,75,0,70,
scrum management,Informational,42,80,1.26,70,
cercare se stessi,Informational,40,74,0.07,70,
corso sulla comunicazione efficace,Informational,23,83,1.01,70,
processo di sviluppo,Informational,52,61,0,70,
posizionamento di un prodotto,Informational,33,81,1.01,70,
obiettivo strategico,"Commercial,Informational",13,84,0,70,
pmi testing,Informational,20,89,1.11,70,
pmo manager,Informational,44,69,2.3,70,
service management itil,Informational,38,80,19.02,70,
metodo top-down,Informational,40,75,0,70,
master risorse umane on line,Informational,36,80,2.15,50,
obiettivi di un'azienda,Informational,40,79,0.47,50,
il project management,Informational,57,62,3.36,50,
struttura organizzativa definizione,Informational,34,79,0,50,
service desk manager,"Transactional,Informational",48,47,20.86,50,
dream jobs,Informational,48,54,0,50,
sigma lean,Informational,40,81,2.63,50,
ui ux design corso,"Transactional,Informational",34,82,2.67,50,
coaching definizione,Informational,27,85,0,50,
struttura organizzativa multidivisionale,Informational,39,74,0,50,
metodologia itil,Informational,35,83,6.78,50,
metodologia scrum agile,Informational,32,83,1.13,50,
tecnica brainstorming,Informational,36,80,0.25,50,
metodo lean toyota,Informational,26,86,0.51,50,
bisogno di sicurezza maslow,Informational,43,79,0,50,
project management certificazione,"Commercial,Informational",37,80,3.59,50,
come fare un analisi swot,Informational,42,80,0.33,50,
corso di formazione hr,Transactional,32,83,5.31,50,
equilibrio zen,Informational,54,47,0.39,50,
autorevoli,Informational,38,68,0,50,
giochi di lavoro,Informational,41,79,0.15,50,
metodologia brainstorming,Informational,36,81,0,50,
social media marketing master,Informational,35,80,6.91,50,
cambiamenti aziendali,Informational,17,89,0,50,
schumpeter teoria,"Transactional,Informational",42,79,0.17,50,
quanto guadagna un product manager,"Transactional,Informational",42,74,2.12,50,
product team,Informational,30,44,0,50,
stakeholder map,Informational,38,38,0,50,
il facilitatore,"Transactional,Informational",49,38,0.19,50,
procrastinatrice significato,Informational,41,78,0,50,
analisi scenario,Informational,30,82,0,50,
cross team,Informational,43,79,0,50,
digital product designer,Informational,38,59,1.64,50,
lungimiranti significato,Informational,35,80,0,50,
cosa fa un coach,Informational,45,64,0.4,50,
matrice porter,Informational,39,80,0,50,
comunicazione faccia a faccia,Informational,44,67,0,50,
scrum daily meeting,Informational,19,88,0.74,50,
cambiamento aziendale,Informational,29,79,0,50,
consigli zen,Informational,40,62,0.07,50,
data analyst hr,Informational,41,80,1.98,50,
leader team,Informational,33,79,0,50,
pace zen,"Transactional,Informational",45,71,0,50,
oratoria deliberativa,Informational,50,75,0,50,
caratteristiche di un gruppo di lavoro,Informational,42,78,0,50,
modello organizzativo funzionale,Informational,37,74,0,50,
gestire il cambiamento,Informational,31,77,0.2,50,
change manager,Informational,51,51,0,50,
obiettivo azienda,Commercial,48,57,0,50,
ascolto efficace,Informational,24,86,0,50,
il management,"Transactional,Informational",60,33,0,50,
pmp vs prince2,Commercial,35,68,2.25,50,
daily scrum meeting,Informational,20,69,0.74,50,
kaizen management,Informational,37,76,0.14,50,
apprendimento efficace,Informational,34,48,0.04,50,
service desk significato,Informational,49,77,4.44,50,
giochi di lavorare,Informational,33,78,0.15,50,
prince2 vs pmp,Commercial,34,78,2.25,50,
struttura organizzativa orizzontale,Informational,28,74,0,50,
economie di scala grafico,Informational,37,78,0,50,
attività di project management,Informational,45,78,2.49,50,
risk information management,Informational,32,81,1.52,50,
significato output,Informational,42,79,0,50,
obiettivi azienda,Informational,49,44,0,50,
agile project,Informational,43,57,3.55,50,
business intelligence master,Transactional,41,77,10.88,50,
cobit framework,Informational,39,80,0,50,
diventare data scientist,Informational,60,52,6.57,50,
prospettiva sistemica,Informational,48,57,0,50,
analisi sistemica,Informational,27,76,0,50,
posizionamento prodotto,Informational,39,78,0,50,
master in web marketing,Informational,32,82,4.88,50,
processi innovativi,Informational,26,61,0.52,50,
modello organizzativo divisionale,Informational,15,88,0,50,
il project manager,Informational,63,59,2.18,50,
lean manager stipendio,Transactional,44,78,0,50,
corso di web marketing e social media,"Transactional,Informational",48,75,7.92,50,
togaf 9,Informational,34,79,0,50,
strumenti di comunicazione interna,Informational,31,67,2.24,40,
certificazioni curriculum,Informational,50,74,0.68,40,
metodo brainstorming,Informational,46,77,0.13,40,
differenza tra scrum e kanban,"Commercial,Informational",42,79,0,40,
deputy project manager,Transactional,58,35,0,40,
business case modello,Informational,52,75,0,40,
storytelling turistico,Informational,46,72,0,40,
il mio lavoro mi fa schifo,Informational,55,68,0,40,
competenze problem solving,Informational,39,81,0,40,
service level management,Informational,41,54,2.84,40,
strategia aziendale esempio,"Commercial,Informational",25,83,5,40,
agile design,Informational,35,83,0,40,
auto consapevolezza,Informational,40,78,0.25,40,
far accadere le cose,"Transactional,Informational",43,55,0,40,
corso ethical hacking,"Transactional,Informational",33,80,3.04,40,
bisogno di stima,Informational,24,86,0,40,
business cases,Informational,49,76,0,40,
acronimo pmo,Informational,31,85,0,40,
come fare un'analisi swot,Informational,43,74,0.15,40,
corso comunicazione efficace milano,Transactional,29,76,2.5,40,
organigramma funzionale aziendale,Informational,33,76,0,40,
ansia da lavoro rimedi,Informational,44,78,0,40,
posizionamento siti roma,Commercial,20,85,0,40,
sviluppo software agile,Informational,47,77,0.78,40,
arte e marketing,Informational,33,79,0,40,
corso pmo,Transactional,34,79,4.07,40,
spirito zen,"Transactional,Informational",32,83,0,40,
pratica zen,Informational,32,79,1.14,40,
vita complicata,Informational,58,54,0,40,
devops ci cd,Informational,42,80,13.81,40,
comportamento professionale,Informational,29,83,0,40,
strategie business,Informational,27,85,0,40,
marketing product specialist,Informational,58,67,4.93,40,
le strategie aziendali,Informational,29,78,0.48,40,
