Keyword,Intent,Keyword Difficulty,Keyword Opportunity,CPC,Volume ricerca,Stagionalità
agile development manifesto,Informational,35,81,5.26,3600,
okr,Informational,51,38,1.59,3600,
agile software manifesto,Informational,42,78,5.26,3600,
product manager,Informational,63,25,2.29,3600,
design ux ui,Informational,35,83,3.61,3600,
analyse root cause,Informational,37,82,2.52,2900,
rca root,Informational,28,87,2.75,2900,
pmp,Informational,35,44,1.72,2900,
economie di scala,Informational,56,35,0,2900,
pm manager,Informational,58,73,2.67,2400,
itil,Informational,45,39,8.97,2400,
throughput,Informational,47,34,0,2400,
cpo,Informational,23,67,0,2400,
prioritizzazione,Informational,26,68,0,2400,
mvp means,Informational,49,78,0,2400,
ux & ui designer,Informational,34,82,1.4,2400,
marketing manager,Informational,50,34,2.05,2400,
corso social media manager,Informational,42,66,4.81,2400,
talent garden milano,"Navigational,Transactional",43,67,1.31,2400,
autorevolezza significato,Informational,30,83,0,1900,
ci cd,Informational,31,85,2.48,1900,
project manager cosa fa,Informational,56,67,0.45,1900,
contingency,Informational,59,26,0,1900,
bug fixing,Informational,45,38,0.17,1900,
matrice raci,Informational,45,42,0.09,1900,
stakeholders significato,Informational,42,77,0,1900,
ui ux designer,Informational,37,82,2.3,1900,
iaf,Informational,19,54,1.82,1900,
business case,Informational,52,29,0.63,1900,
output significato,Informational,47,75,0,1900,
cowork roma,Informational,26,84,1.734678,1900,
coworking torino,Informational,22,75,3.47,1900,
lego serious play,Informational,36,50,0.41,1600,
facilitazione,Informational,27,47,0,1600,
lesson learned,Informational,34,59,0.04,1600,
growth hacking,Informational,56,36,0.78,1600,
raci matrix,Informational,32,75,0.43,1600,
insoddisfatti,Informational,44,74,0,1600,
lungimiranza,Informational,38,45,0,1600,
fast thinking,Informational,44,79,0.14,1600,
coaching significato,Informational,36,81,0.42,1600,
oceano blu,Informational,47,31,0.28,1600,
legoseriousplay,Informational,16,87,0.84,1600,
vuca,Informational,51,32,7.51,1600,
early adoption,Informational,40,78,0,1600,
serious lego play,Informational,33,82,0.2051328635,1600,
pmo significato,Informational,34,83,1.29,1600,
growth hacker,Informational,50,45,0.79,1600,
co working torino,Informational,22,85,7.6,1300,
service design,Informational,57,25,0.63,1300,
micromanagement,Informational,47,29,0.09,1300,
agile project management,Informational,45,37,2.62,1300,
cism,Informational,30,43,0.71,1300,
service desk,Informational,47,30,5.55,1300,
best practices,Informational,46,53,0,1300,
scala di maslow,Informational,46,77,0,1300,
legge attrazione,Informational,48,76,0.19,1300,
oratoria,Informational,48,39,0,1300,
autorevolezza,Informational,37,50,0,1300,
facilitatore,Informational,39,38,0,1000,
chi sono gli stakeholder,Informational,52,65,0.15,1000,
hr managemnt,Informational,16,89,4.44,1000,
hr management,Informational,31,70,2.8,1000,
master digital marketing,Informational,44,57,10.27,1000,
agile development project management,Informational,34,80,3.57,1000,
product owner,Informational,47,30,0.91,1000,
pmp certificazione,Informational,25,85,3.77,1000,
agile manifesto,Informational,37,82,1.42,1000,
economie di scopo,Informational,52,31,0,1000,
pmbok,Informational,27,56,0.41,1000,
kaizen metodo,Informational,39,76,0.94,1000,
metodo kaizen,Informational,35,73,0.69,1000,
upskilling,Informational,48,32,1.39,880,
process,Informational,53,31,0,880,
portfolio management,Informational,34,44,5.76,880,
definizione posizionamento,Informational,42,79,0,880,
senso di appartenenza,Informational,45,40,0,880,
minimum viable product,Informational,48,38,2.17,880,
middle management,Informational,29,46,0.91,880,
early adopters,Informational,44,64,0,880,
corsi sulla comunicazione efficace,"Transactional,Informational",29,82,1.81,880,
data scientist stipendio,"Transactional,Informational",50,75,1.08,880,
risorse umane corso,Transactional,35,81,3.91,880,
minimun viable product,Informational,35,79,0.31,880,
location evento roma,Informational,22,85,1.86,880,
stakeholder mapping,Informational,48,39,0,880,
social media manager corsi,"Commercial,Informational",42,77,4.96,880,
roadmap,Informational,60,32,1.71,880,
master hr,Informational,45,75,8.94,880,
andon,Informational,28,42,1.5,880,
oceanoblu,Informational,21,87,0.105765925089,880,
change management manager,Informational,38,78,3.39,880,
user story,Informational,46,37,1.25,880,
change manag,Informational,57,32,3.39,880,
smo,Informational,41,50,0,880,
enterprise architecture,Informational,35,46,1.67,880,
empatia esempi,Informational,28,84,0,880,
service manager,Informational,36,38,2.03,880,
people management,Informational,44,41,2.41,720,
filosofia zen,"Transactional,Informational",47,55,0.14,720,
via calabiana 6 milano,Informational,38,79,0,720,
pensiero creativo,Informational,36,39,0.53,720,
digital marketing master,Informational,37,80,12.03,720,
master in digital marketing,Transactional,38,64,12.03,720,
backlog significato,Informational,42,79,0,720,
togaf,Informational,25,46,1.56,720,
middle managment,Informational,20,86,0,720,
service management,Informational,42,40,7.86,720,
total quality management,Informational,38,41,0.58,720,
cobit,Informational,38,35,1.55,720,
autoconsapevolezza,Informational,35,49,0.16,720,
continuous integration,Informational,57,39,2.11,720,
approccio sistemico,Informational,44,54,0,720,
struttura funzionale,Informational,32,78,0,720,
minimal viable product,Informational,48,74,0.25,720,
master in data analysis,Transactional,33,80,7.01,720,
certificazione pmp,Informational,26,61,3.05,720,
data scientist cosa fa,Informational,49,75,0.29,720,
master data analytics,Informational,26,78,5.81,720,
struttura organizzativa,Informational,36,47,0,720,
definizione di stakeholder,Informational,44,78,0,720,
master data analysis,Informational,29,81,8.51,720,
strategia oceano blu,Informational,61,28,0.43,720,
prince2,Informational,37,36,1.77,720,
people managment,Informational,35,80,2.01,720,
story mapping,Informational,21,60,3.26,720,
leadership servant,Informational,21,83,0.54,720,
tag innovation school,Informational,30,70,0,720,
talent garden roma,Commercial,40,67,0.5,720,
strategia aziendale,Informational,43,44,1.13,720,
standup meeting,Informational,36,76,0.47,590,
manager stipendio,"Transactional,Informational",48,77,0.16,590,
stand up meetings,Informational,40,79,0.47,590,
product developer,Informational,60,35,1.94,590,
stand up meeting,Informational,39,61,0.47,590,
capacità relazionale,Informational,39,79,0.58,590,
certified pmp,Informational,18,89,3.44,590,
bisogni fisiologici,Informational,41,80,0,590,
master in data analytics,Transactional,28,78,6.93,590,
leader of a team,Informational,44,79,0.67,590,
maslow bisogni,Informational,45,79,0,590,
ux writer,Informational,26,64,0.61,590,
knowledge sharing,Informational,46,43,0.11,590,
la legge di attrazione,Informational,54,68,0.23,590,
talent garden torino,"Navigational,Commercial",21,83,0.07,590,
struttura divisionale,Informational,23,71,0,590,
cambiare lavoro a 40 anni,Informational,51,55,0.06,590,
spazi coworking milano,Commercial,41,78,7.88,590,
itil v4,Transactional,34,84,5,590,
autorevole significato,Informational,38,80,0,590,
ruoli aziendali,Informational,27,53,0.88,590,
sistemico,Informational,44,48,0,590,
memetica,Informational,47,32,0,590,
ruolo aziendale,Informational,14,90,0.88,590,
pmp cert,Informational,25,83,3.44,590,
capacita relazionali,Informational,44,77,0.58,590,
reengineering,Informational,47,39,0,590,
infosec,Informational,45,37,4.18,590,
ortoepia,Informational,48,41,0,590,
pmp certified,Informational,19,89,3.44,590,
contingency planning,Informational,48,42,3.17,590,
retrospective,Informational,43,43,1.76,590,
resource based view,Informational,45,60,0,590,
change management it,Informational,37,79,15.19,590,
contingency plans,Informational,41,73,3.17,590,
product manager stipendio,"Transactional,Informational",46,76,1.15,590,
agile methodology scrum,Informational,28,85,1.43,590,
oceani blu,"Transactional,Informational",46,77,0.33,590,
servant leader,Informational,31,42,1.87,590,
bottom up e top down,Informational,55,74,0,590,
pmp certification,Informational,24,76,3.44,590,
product development,Informational,43,45,1.94,590,
burndown chart,Informational,45,43,0,590,
modello di abell,Informational,26,48,0,590,
service managment,Informational,38,78,1.21,590,
contingency plan,Informational,50,34,3.17,590,
develop product,Informational,38,81,1.94,590,
test driven development testing,Informational,34,78,11.58,480,
competitivo,Informational,55,28,0,480,
itil 4,Transactional,36,69,4.07,480,
world cafe,Informational,22,75,0,480,
test development driven,Informational,32,82,1.3,480,
economia di scopo,Informational,40,77,0,480,
pensiero sistematico,Informational,14,87,0,480,
test driven development,Informational,40,48,1.3,480,
devops significato,"Transactional,Informational",45,79,1.2,480,
significato mvp,Informational,33,79,0,480,
extreme programming,Informational,46,33,0.29,480,
delivery management,Informational,29,64,3.76,480,
cosa sono gli stakeholder,Informational,45,73,0.02,480,
manifesto agile,"Navigational,Informational",38,57,2.03,480,
delivery manager,Informational,44,42,3.76,480,
product plan,Informational,34,70,2.61,480,
che cosa fa,Informational,56,65,0,480,
enterprise architect,Informational,44,29,0.7,480,
organizzativa,Informational,30,52,0,480,
hr and analytics,Informational,60,67,12.81,480,
prince two,Informational,25,86,0,480,
workshop social media,Informational,40,65,5.01,480,
hr management master,Informational,41,80,6.47,480,
coworking genova,Transactional,32,67,3.4,480,
swot analysis esempio,Informational,43,78,0.15,480,
ars oratoria,"Transactional,Informational",54,50,0.23,480,
via arcivescovo calabiana 6,Informational,38,73,0,480,
analisi swot esempio,Informational,43,77,0,480,
negoziatori,Informational,37,66,0,480,
corsi risorse umane,Transactional,35,71,3.46,480,
lungimirante significato,Informational,40,73,0,480,
calabiana milano,Commercial,46,71,0,480,
marianella sclavi,"Commercial,Informational",38,50,0.13,480,
oratoria significato,Informational,40,75,0,480,
master ai,Informational,49,78,5.58,390,
certification project management,Informational,27,84,5.02,390,
sensemaking,Informational,49,39,0,390,
corsi human resources,Transactional,40,80,4.53,390,
itil foundation,Informational,21,81,2.12,390,
pensiero computazionale significato,Informational,27,82,0,390,
master ux design,Informational,36,81,3.92,390,
diseconomie di scala,Informational,49,52,0,390,
project manager significato,Informational,53,73,0.21,390,
feedback positivi esempi,Informational,26,85,0,390,
ux writing,Informational,37,36,0.41,390,
share knowledge,Informational,37,71,0.45,390,
piramide di maslow bisogni,Informational,45,74,0,390,
coworking space milano,Commercial,31,82,7.92,390,
struttura aziendale,Informational,42,74,0.49,390,
feedback positivo esempio,Informational,28,84,0,390,
master social media manager,Informational,41,78,8.31,390,
estimation poker,Informational,21,88,0,390,
sharing knowledge,Informational,33,75,0.45,390,
okrs cosa sono,Informational,39,81,2.44,390,
sales account management,"Transactional,Informational",45,76,1.57,390,
product backlog,Informational,41,42,0,390,
project management officer,Informational,33,47,3.13,390,
okr cosa sono,Informational,42,80,2.44,390,
master risorse umane online,Transactional,46,76,7.68,390,
scrum significato,Informational,35,82,1.23,390,
security information,Informational,33,82,3.68,390,
curva di rogers,Informational,24,50,0,390,
master part time,Informational,42,67,6.24,390,
metodo scrum,Informational,41,75,0.96,390,
project manager certification,Informational,25,84,5.02,390,
prodotto innovativo,Informational,30,79,0.51,390,
corsi hr,Informational,41,72,4.53,390,
shift left,Informational,41,48,0,390,
agile master,Informational,33,83,3.14,390,
certificazione itil,Informational,30,74,1.89,390,
job to be done,Informational,42,70,0.51,390,
master design,"Transactional,Informational",28,73,3.72,390,
metodologia scrum,Informational,44,65,0.98,390,
safe agil,Informational,41,75,1.84,390,
project management office,Informational,45,38,3.12,390,
corsi comunicazione efficace,"Transactional,Informational",41,77,1.38,390,
safe in agile,Informational,37,82,1.84,390,
project management certified,Informational,30,81,5.02,390,
corso comunicazione efficace,Informational,25,78,1.38,390,
safe agile,Informational,41,75,1.84,390,
pensiero sistemico,Informational,24,47,0.19,390,
master in design,Transactional,32,76,3.72,390,
sigma 6,Informational,40,72,1.47,390,
agile safe,Informational,36,78,1.84,390,
project management certification,Informational,32,76,5.02,390,
corso hr,Informational,30,85,4.53,390,
lean product,Commercial,40,43,0.78,390,
vuca acronimo,Informational,38,82,0,390,
project office management,Informational,35,81,3.12,390,
master sustainability,Informational,30,77,6.98,390,
tabella raci,Informational,29,86,0.04,390,
sense making,Informational,33,77,0.11,390,
peoplemanagement,"Transactional,Informational",21,85,0,320,
poker planning,Informational,28,86,1.02,320,
esempi analisi swot,Informational,47,78,0.36,320,
scrum master certificazione,Informational,29,83,1.5,320,
struttura organizzativa funzionale,Informational,24,75,0,320,
products marketing,Informational,36,80,0.92,320,
co working genova,Transactional,32,81,7.33,320,
scrum methodologies,Informational,30,83,0.86,320,
learning by action,Informational,21,86,0,320,
agile coac,Commercial,37,40,1.14,320,
posizionamento sui motori di ricerca,Informational,22,85,1.51,320,
analytics hr,Informational,47,76,3.42,320,
problem solving esempio pratico,Informational,35,79,0,320,
scrum vs kanban,Commercial,45,69,0.64,320,
stakeholder definizione,Informational,40,79,0,320,
master in intelligenza artificiale,"Transactional,Informational",34,65,4.02,320,
strategie corporate,Informational,33,71,2.89,320,
ruoli aziendali elenco,Informational,25,85,1.94,320,
continuous delivery,Informational,33,49,3.72,320,
product marketing,Informational,47,35,0.92,320,
master data analyst,Transactional,27,78,8.89,320,
strategie di business,Informational,48,57,0.9,320,
skill problem solving,Informational,54,74,0.72,320,
agile coaching,Commercial,31,59,1.14,320,
marketing a product,Informational,43,79,0.92,320,
ux research,Informational,41,37,2.96,320,
economie di apprendimento,Informational,56,33,0,320,
skills problem solving,Informational,30,84,0.72,320,
c continuous integration,Informational,39,78,0.35,320,
prodotti innovativi,Informational,39,61,0.65,320,
feedback positivo esempi,Informational,26,85,0,320,
human resources master,Informational,40,79,8.5,320,
matrice general electric,Informational,35,72,0,320,
problem solving skill,Informational,56,66,0.72,320,
work in a team,Informational,42,75,0.81,320,
manager stakeholder,Informational,32,83,0.91,320,
esercizi per gestire le emozioni,Informational,16,87,0.39,320,
master in hr,Informational,46,78,8.22,320,
strategia di business,Informational,38,66,0.9,320,
team leader significato,Informational,43,78,0,320,
manager technical,Informational,37,82,1.5,320,
consulenti hr,Informational,26,86,2.16,320,
tag milano,Informational,43,70,0.11,320,
strategia corporate,Informational,29,72,2.89,320,
prince2 foundation,Informational,16,73,2.61,320,
marketing product,Informational,42,79,0.92,320,
consulenza human resource,Informational,24,86,1.22,320,
hr analytics,Informational,52,31,4.27,320,
matrice mckinsey,Informational,31,69,0,320,
qrp,Informational,43,32,0.1,320,
marketing for products,Informational,37,81,0.92,320,
maslow pyramid,Informational,34,84,0,320,
design management,Informational,40,31,3.98,320,
work in team,Informational,42,80,0.81,320,
product management information,Informational,29,82,13.76,320,
cigno nero significato,Informational,47,77,0,320,
master human resources,Informational,42,73,8.5,320,
metodologie agile scrum,Informational,32,83,1.49,320,
cosa fa un project manager,Informational,55,74,0.63,320,
posizionamento amazon,Informational,31,81,0.33,320,
bisogni maslow,Informational,41,79,0,320,
master in human resources,Informational,30,78,8.5,320,
sprint agile,Informational,28,80,8.45,320,
kanban vs scrum,"Commercial,Informational",50,66,0.64,320,
product market fit,Informational,59,53,0.2,320,
ascolto passivo,Informational,30,70,0,320,
social media marketing corso,"Transactional,Informational",50,74,4.99,320,
planning poker,Informational,32,46,1.02,320,
it project managers,Informational,40,79,2.98,320,
stipendio data scientist,"Transactional,Informational",50,75,0.81,320,
arte oratoria,Informational,45,54,0,320,
hr master,Informational,40,82,8.25,320,
scrum methodology,Informational,32,75,0.86,320,
incident management,Informational,48,48,6.58,320,
marketing manager cosa fa,Informational,40,78,0.94,320,
pensiero zen,Informational,41,80,0.35,320,
master in hr online,Informational,50,76,9.18,320,
calabiana,Commercial,55,28,0,320,
agile sprint,Informational,43,75,8.45,320,
giochi di comunicazione,Informational,32,64,0.42,320,
pmp corso,"Transactional,Informational",28,87,3.88,320,
agile coach,Commercial,37,39,1.14,320,
stakeholders definizione,Informational,32,81,0,320,
miglior master in risorse umane,Commercial,43,73,6.58,260,
succession planning,Informational,32,40,1.1,260,
sviluppo prodotto,"Transactional,Informational",51,51,0.26,260,
significato di lungimirante,Informational,40,79,0,260,
master hr online,Informational,44,74,9.28,260,
work as a team,Informational,32,84,2.63,260,
product managers,Informational,50,75,0,260,
insoddisfatto,"Navigational,Informational",54,48,0,260,
corsi ux design,Informational,42,73,2.86,260,
sprint planning,Informational,39,48,3.31,260,
scrum board,Informational,41,47,2.16,260,
prototyping,Informational,33,41,1.59,260,
de oratore cicerone,Informational,50,74,0.09,260,
master part-time,Informational,35,79,1.101166,260,
cynefin,Informational,36,41,0,260,
cosa fa il project manager,Informational,56,73,0.69,260,
product management,Informational,49,61,3.48,260,
legge dell attrazione esercizi,"Transactional,Informational",31,80,0.2,260,
corso ux design,Informational,42,74,2.86,260,
user story map,Informational,29,61,4.14,260,
skill project management,Informational,41,78,3.02,260,
rapid prototyping,Informational,31,60,4.4,260,
legge di attrazione esercizi,"Transactional,Informational",37,73,0.22,260,
corsi di social media marketing,Transactional,54,71,7.1,260,
user story mapping,Informational,39,51,4.14,260,
vuca significato,Informational,36,82,0,260,
autoapprendimento,Informational,30,50,0,260,
corso di social media marketing,"Transactional,Informational",56,66,7.1,260,
outcome significato,"Commercial,Informational",36,81,0,260,
scrum master significato,"Transactional,Informational",51,75,0.84,260,
lungimiranza significato,Informational,35,80,0,260,
corsi di comunicazione,Informational,38,75,1.55,260,
agile scrum,Informational,44,71,1.51,260,
esercitazioni di comunicazione,Informational,25,85,0.27,260,
approccio top down,Informational,54,74,0,260,
significato lungimiranza,Informational,35,82,0,260,
analisi swot esempi pratici,Informational,38,79,0.3,260,
software agile,Informational,44,79,2.45,260,
significato lungimirante,Informational,40,79,0,260,
swot analisi esempio,Informational,44,78,0.15,260,
succession plan,Informational,32,36,1.1,260,
fasi del problem solving,Informational,46,56,0.49,260,
economie di scala significato,Informational,46,76,0,260,
esercitazioni sulla comunicazione,Informational,22,86,0.27,260,
sistemico significato,Informational,57,72,0,260,
product in marketing management,Informational,30,82,1.26,260,
economie di scala definizione,Informational,48,73,0,260,
metodo toyota,Informational,43,65,0.41,260,
customer service manager,"Transactional,Informational",40,44,3.15,260,
engineering a product,Informational,44,78,0,260,
problem solving fasi,Informational,51,74,1.22,260,
qrpitalia,Transactional,26,83,0,260,
mappatura stakeholder,Informational,34,75,0,260,
resistenza al cambiamento,Informational,52,31,0,260,
technical debt,Informational,55,44,0,260,
project manager job description,Informational,30,57,0.95,260,
rapid prototype,Informational,30,82,4.38,260,
sprint plan,Informational,40,44,3.31,260,
job description project manager,Informational,28,86,0.95,260,
sviluppo prodotti,Informational,30,83,0.26,260,
computazionale significato,Informational,37,80,0,260,
talent attraction,Informational,38,34,1.08,210,
genius paradigma,Informational,41,80,0,210,
shu ha ri,Informational,26,82,0,210,
matrice di abell,Informational,19,89,0,210,
visione sistemica,Informational,20,74,0,210,
pmi pmp,Informational,19,90,1.34,210,
capacità di ascolto,Informational,34,64,0,210,
talent garden brescia,Commercial,36,64,0,210,
scrum rugby,Informational,35,82,0,210,
matrice ge,Informational,38,54,0,210,
daily standup meeting,Informational,31,81,0.17,210,
strutture organizzative,Informational,30,63,0,210,
oratoria cicerone,Informational,55,70,0,210,
corsi social media manager,"Commercial,Informational",47,74,3.53,210,
progetto acqua scuola infanzia,Informational,32,83,1.47,210,
facilitatore sociale,Informational,32,59,0,210,
schumpeter innovazione,Informational,39,81,0,210,
struttura organizzativa azienda,Informational,30,76,0,210,
agile management,Informational,48,70,2.65,210,
master in business analytics,Informational,42,73,15.9,210,
metodologia agile scrum,Informational,38,76,1.26,210,
itil 4 foundation,Informational,18,71,1.87,210,
resource manager,Informational,46,45,8.32,210,
corso di comunicazione efficace,Informational,23,69,1.2,210,
scaled agile,Informational,39,44,4.65,210,
portfolio project management,Informational,41,78,2.29,210,
master risorse umane roma,Informational,41,78,7.46,210,
ecocycle,Commercial,21,54,2.61,210,
scaleagile,Informational,11,93,4.65,210,
portfolio management project,Informational,30,82,2.29,210,
product manager master,"Commercial,Informational",57,71,4.36,210,
sclaed agile,Informational,35,82,4.65,210,
corsi itil,Transactional,17,84,2.22,210,
product marketing management,Informational,33,79,0.55,210,
approccio top-down,Informational,53,57,0.77,210,
corso itil,"Transactional,Informational",19,79,2.22,210,
sviluppo di un prodotto,Informational,37,74,0,210,
sustainability management master,Informational,36,73,7.64,210,
daily standup,Informational,32,65,2.37,210,
prince2 certificazione,Informational,26,85,2.61,210,
pmi project manager,Informational,19,89,1.89,210,
prodotti marketing,"Transactional,Informational",37,76,6.12,210,
master of business analysis,Informational,32,81,6.88,210,
definition of done,Informational,46,30,0,210,
rugby scrum,Informational,41,75,0,210,
program management,Informational,39,64,0.93,210,
posizionamento di prodotto,Informational,42,78,2.16,210,
corsi online social media manager,Informational,36,78,5.64,210,
sprint review,Informational,40,33,0.03,210,
project management pmi,Informational,27,83,1.89,210,
manager resources,Informational,32,82,8.32,210,
cosa significa mvp,Informational,41,75,0,210,
gerarchia aziendale ruoli,Informational,13,91,0,210,
corso ux,Informational,40,67,1.96,210,
scrum team,"Transactional,Informational",38,66,1.06,210,
certificazione capm,Informational,28,66,2.8,210,
corsi pmp,Transactional,21,89,3.18,210,
mvp minimum viable product,Informational,39,78,0.17,210,
chi sono gli influencer,Informational,28,75,0.66,210,
corso di social media manager,Informational,41,75,5.5,210,
scrum sprint,Informational,37,77,0.55,210,
distruzione creativa,Informational,39,51,0,210,
corso pmp,Transactional,27,86,3.18,210,
scale agile,Informational,32,83,4.65,210,
agile kanban,Informational,42,81,1.88,210,
cosa significa lungimirante,Informational,44,78,0,210,
corso online social media manager,Informational,39,67,5.64,210,
kanban in agile,Informational,36,82,1.88,210,
economia di scala esempio,Informational,38,78,0,210,
value stream,Informational,32,37,0.76,210,
raci matrice,Informational,38,82,0.15,210,
pmi project management,Informational,14,85,1.89,210,
kanban agile,Informational,45,78,1.88,210,
arte di cicerone,"Transactional,Informational",47,64,0,210,
corsi per social media manager,Informational,41,76,4.5,210,
sprint scrum,"Transactional,Informational",42,74,0.55,210,
strategie competitive,Informational,45,53,0,210,
lean manager,Informational,36,44,1.34,210,
struttura organizzativa aziendale,Informational,30,76,0,210,
prince2 certification,Informational,22,81,2.88,210,
4 quadranti,Informational,30,57,0,210,
corso per social media manager,Transactional,44,75,4.5,210,
scrum framework,"Transactional,Informational",36,77,2.13,210,
ge matrix,Informational,31,67,0,210,
top management,Informational,61,23,0,210,
pmp from pmi,Informational,9,93,1.34,210,
pmp pmi,Informational,17,91,1.34,210,
teoria del cigno nero,Informational,39,60,0,210,
innovation business,Commercial,63,37,6.15,170,
ruoli in un'azienda,Informational,20,83,0.91,170,
product management master,"Commercial,Informational",50,74,7.15,170,
sprint backlog,Informational,31,47,0,170,
fasi problem solving,Informational,46,75,0,170,
tipologie di organigramma,Informational,31,84,0,170,
agile vs scrum,"Commercial,Informational",49,68,0.34,170,
passione per il proprio lavoro,Informational,38,70,0,170,
cross functional team,Informational,31,76,0,170,
debito tecnico,Informational,47,30,0,170,
cosa fa un influencer,Informational,28,84,0,170,
economie di esperienza,Informational,44,66,0,170,
lavorare con passione,Informational,30,79,0,170,
cross functional teams,Informational,42,66,0,170,
master product management,Informational,56,56,7.15,170,
autoconsapevolezza significato,Informational,34,80,0,170,
scrum daily standup,Informational,31,84,5.61,170,
oceano blu libro,Informational,59,72,0.34,170,
lavoro con passione,Informational,38,80,0,170,
pmo in project management,Informational,35,82,0,170,
marketing product management,Informational,36,81,2.07,170,
transdisciplinarietà,Informational,35,60,0,170,
team scrum,Informational,41,76,0.21,170,
diversificazione conglomerale,Informational,28,69,0,170,
creativitÃ  e innovazione,Informational,24,82,0,170,
agile in marketing,"Transactional,Informational",39,77,0.66,170,
product management marketing,Informational,36,79,2.06,170,
competenze organizzative e gestionali curriculum,Informational,43,73,0,170,
master data analyst online,Transactional,27,82,6.57,170,
scrum in project management,Informational,26,84,0.98,170,
vantaggio economico,"Commercial,Informational",53,60,0,170,
swot esempio,Informational,43,80,0.07,170,
approccio agile,Informational,46,73,1.21,170,
product manager marketing,Informational,51,74,2.06,170,
il pensiero creativo,Informational,30,59,0.07,170,
spazi eventi roma,Informational,42,79,1.57,170,
framework scrum,"Transactional,Informational",35,73,2.15,170,
esempi pratici,Informational,36,53,0,170,
struttura organizzativa divisionale,Informational,20,80,0,170,
early adopter,Informational,58,25,0,170,
stile di cicerone,Informational,46,68,0,170,
training social media,Informational,33,82,7.07,170,
piano aziendale,Informational,40,43,1.08,170,
project team,Informational,49,53,0,170,
product marketing manager,"Transactional,Informational",54,49,2.06,170,
società della conoscenza,Informational,32,48,0,170,
corso social media marketing online,Transactional,54,71,6.97,170,
professionalmente,Informational,56,31,0,170,
change agent,Informational,42,34,0,170,
marketing product manager,Informational,60,66,2.06,170,
essere proattivo,Informational,26,86,0,170,
tag calabiana,Commercial,26,79,0.59,170,
marketing agile,Informational,45,64,0.66,170,
corsi social media marketing online,Transactional,53,71,6.97,170,
technical project manager,Transactional,46,32,3.24,170,
talents,Informational,34,41,0,170,
servicedesk,Informational,29,66,5.6,170,
innovation management,Informational,34,43,2.64,170,
certificazione prince2,"Commercial,Informational",24,67,2.51,170,
digital hr,Informational,55,39,2.48,170,
agile marketing,Informational,47,37,0.66,170,
innovazione prodotti,Informational,35,80,0,170,
master social media marketing,Informational,39,78,6.96,170,
salary project manager,Transactional,45,78,0,170,
product roadmap,Informational,45,41,2.88,170,
business data analytics,Informational,48,76,2.7,140,
esempi di analisi swot,Informational,48,76,0.22,140,
project manager salary,Transactional,42,63,0,140,
risk management project management,Informational,26,83,2.66,140,
agile certification,Informational,29,85,2.28,140,
data scientist stipendio italia,"Transactional,Informational",42,77,0.86,140,
digital soft skills,Informational,31,65,1.77,140,
data analytics business,Informational,44,77,5.47,140,
corsi social,Informational,41,80,4.27,140,
giochi sulla comunicazione,Informational,21,82,0.1,140,
metodo agile project management,Informational,32,81,1.15,140,
project risk management,Informational,33,62,1.27,140,
come diventare data scientist,Informational,46,62,3.12,140,
digital soft skill,Informational,39,53,1.77,140,
ai in hr,Informational,27,83,3.14,140,
corso sulla comunicazione,Informational,35,81,1.39,140,
agile leadership,Informational,41,41,0.77,140,
lean process,Informational,29,76,0,140,
risk management project manager,Informational,24,85,2.81,140,
leader manager,Informational,40,80,2.26,140,
knowledge management significato,Informational,42,77,3.17,140,
influencer definizione,Informational,42,73,0,140,
hr ai,Informational,21,90,3.15,140,
